company_id:id,id,name
muti_base.res_company_bu000001id,hr_department_01000083id,ZAMBOANGA
muti_base.res_company_bu000001id,hr_department_01000097id,ZAMBOANGA DEL NORTE PROPER
muti_base.res_company_bu000001id,hr_department_01000098id,ZAMBOANGA DEL SUR PROPER
muti_base.res_company_bu000009id,hr_department_09000002id,GREATWALL
muti_base.res_company_bu000009id,hr_department_09000001id,KITCHEN
muti_base.res_company_bu000017id,hr_department_17000004id,LAGAO
muti_base.res_company_branch_pumgashomeoffice,hr_department_17000002id,OPERATIONS
muti_base.res_company_branch_pumgashomeoffice,hr_department_17000001id,PHOENIX
muti_base.res_company_bu000017id,hr_department_17000003id,PUMGAS
muti_base.res_company_bu000013id,hr_department_13000016id,AGDAO-M
muti_base.res_company_bu000013id,hr_department_13000011id,BRDC
muti_base.res_company_bu000013id,hr_department_13000003id,DIGOS-M
muti_base.res_company_bu000013id,hr_department_13000015id,GREATWALL
muti_base.res_company_bu000013id,hr_department_13000012id,HLRDC
muti_base.res_company_bu000013id,hr_department_13000017id,HLRDC-PHOENIX
muti_base.res_company_bu000013id,hr_department_13000010id,ISULAN-H
muti_base.res_company_bu000013id,hr_department_13000002id,ISULAN-M
muti_base.res_company_bu000013id,hr_department_13000013id,KIDAPAWAN-M
muti_base.res_company_bu000013id,hr_department_13000008id,KORONADAL-H
muti_base.res_company_bu000013id,hr_department_13000005id,KORONADAL-M
muti_base.res_company_bu000013id,hr_department_13000004id,MARBEL-M
muti_base.res_company_bu000013id,hr_department_13000007id,POLOMOLOK-M
muti_base.res_company_bu000013id,hr_department_13000001id,PRIORITY AGENCY
muti_base.res_company_bu000013id,hr_department_13000018id,RURAL BANK OF NORALA
muti_base.res_company_bu000013id,hr_department_13000009id,SURALLAH-H
muti_base.res_company_bu000013id,hr_department_13000006id,TACURONG-M
muti_base.res_company_bu000013id,hr_department_13000014id,TAGUM-M
muti_base.res_company_branch_16000001id,hr_department_16000002id,OPERATIONS
muti_base.res_company_bu000016id,hr_department_16000001id,RURAL BANK OF NORALA
muti_base.res_company_bu000016id,hr_department_16000003id,SUPREME INVESTIGATIVE AND SECURITY AGENCY
muti_base.res_company_bu000012id,hr_department_12000011id,BRDC
muti_base.res_company_bu000012id,hr_department_12000023id,CAGAYAN DE ORO-M
muti_base.res_company_bu000012id,hr_department_12000021id,CALINAN-M
muti_base.res_company_bu000012id,hr_department_12000002id,DIGOS-M
muti_base.res_company_branch_siasagreatwall,hr_department_12000016id,GREATWALL
muti_base.res_company_bu000012id,hr_department_12000012id,HLRDC
muti_base.res_company_bu000012id,hr_department_12000022id,HLRDC-PHOENIX
muti_base.res_company_branch_siasahomeoffice,hr_department_12000019id,HUMAN RESOURCES
muti_base.res_company_bu000012id,hr_department_12000010id,ISULAN-H
muti_base.res_company_bu000012id,hr_department_12000003id,ISULAN-M
muti_base.res_company_bu000012id,hr_department_12000013id,KIDAPAWAN-M
muti_base.res_company_bu000012id,hr_department_12000008id,KORONADAL-H
muti_base.res_company_bu000012id,hr_department_12000005id,KORONADAL-M
muti_base.res_company_bu000012id,hr_department_12000028id,M-DIGOS
muti_base.res_company_bu000012id,hr_department_12000004id,MARBEL-M
muti_base.res_company_bu000012id,hr_department_12000017id,MATI-M
muti_base.res_company_branch_siasahomeoffice,hr_department_12000018id,OPERATIONS
muti_base.res_company_bu000012id,hr_department_12000015id,PANABO-M
muti_base.res_company_bu000012id,hr_department_12000024id,PHOENIX
muti_base.res_company_branch_12000024id,hr_department_12000027id,PHOENIX-LAGAO
muti_base.res_company_bu000012id,hr_department_12000007id,POLOMOLOK-M
muti_base.res_company_bu000012id,hr_department_12000025id,RURAL BANK OF NORALA
